	mass C		
t	x	y	
6.790	0.194	-7.290E-3
6.807	0.194	-7.724E-3
6.823	0.193	-8.481E-3
6.840	0.193	-9.148E-3
6.857	0.192	-1.027E-2
6.874	0.191	-1.105E-2
6.890	0.190	-1.211E-2
6.907	0.190	-1.281E-2
6.924	0.190	-1.385E-2
6.940	0.190	-1.496E-2
6.957	0.191	-1.658E-2
6.974	0.193	-1.737E-2
6.990	0.194	-1.802E-2
7.007	0.196	-1.952E-2
7.024	0.197	-2.075E-2
7.040	0.198	-2.207E-2
7.057	0.199	-2.259E-2
7.074	0.200	-2.352E-2
7.090	0.200	-2.463E-2
7.107	0.200	-2.588E-2
7.124	0.201	-2.641E-2
7.140	0.200	-2.738E-2
7.157	0.199	-2.807E-2
7.174	0.198	-2.928E-2
7.191	0.198	-2.985E-2
7.207	0.198	-3.062E-2
7.224	0.197	-3.146E-2
7.241	0.197	-3.260E-2
7.257	0.197	-3.394E-2
7.274	0.198	-3.535E-2
7.291	0.200	-3.631E-2
7.307	0.201	-3.713E-2
7.324	0.202	-3.840E-2
7.341	0.204	-3.969E-2
7.357	0.205	-4.102E-2
7.374	0.207	-4.178E-2
7.391	0.208	-4.244E-2
7.407	0.208	-4.364E-2
7.424	0.208	-4.468E-2
7.441	0.209	-4.514E-2
7.457	0.208	-4.606E-2
7.474	0.208	-4.684E-2
7.491	0.207	-4.772E-2
